MUNICIPIO,DEPENDENCIA,LOCALIZACAO,TDI_AI,TDI_AF
Flores,Municipal,Urbana,4.1,12.3
Flores,Municipal,Rural,2.1,9.8
Floresta,Estadual,Rural,13.4,38.7
Floresta,Municipal,Urbana,6.4,30.0
Floresta,Municipal,Rural,9.5,20.6
Frei Miguelinho,Municipal,Urbana,25.7,35.9
Frei Miguelinho,Municipal,Rural,19.3,37.1
Gameleira,Municipal,Urbana,3.3,24.2
Gameleira,Municipal,Rural,4.0,26.3
Garanhuns,Municipal,Urbana,12.0,27.9
Garanhuns,Municipal,Rural,6.8,23.8
Glória do Goitá,Municipal,Urbana,2.7,12.7
Glória do Goitá,Municipal,Rural,4.1,13.8
Goiana,Municipal,Urbana,16.6,36.0
Goiana,Municipal,Rural,13.1,38.9
Granito,Municipal,Rural,6.7,23.4
Gravatá,Municipal,Urbana,15.7,33.3
Gravatá,Municipal,Rural,10.0,27.6
Iati,Municipal,Urbana,8.9,20.2
Iati,Municipal,Rural,5.8,16.5
Ibimirim,Estadual,Rural,15.5,37.2
Ibimirim,Municipal,Urbana,9.1,26.5
Ibimirim,Municipal,Rural,9.2,17.7
Ibirajuba,Municipal,Urbana,4.8,18.2
Igarassu,Municipal,Urbana,10.4,17.0
Igarassu,Municipal,Rural,6.9,16.0
Iguaracy,Municipal,Urbana,3.2,8.3
Iguaracy,Municipal,Rural,3.3,21.2
Inajá,Estadual,Rural,17.2,31.1
Inajá,Municipal,Urbana,4.4,31.0
Inajá,Municipal,Rural,5.6,9.8
Ingazeira,Municipal,Urbana,4.3,8.7
Ipojuca,Municipal,Urbana,3.9,12.5
Ipubi,Municipal,Urbana,4.6,14.0
Ipubi,Municipal,Rural,8.3,16.8
Itacuruba,Estadual,Rural,5.2,23.2
Itacuruba,Municipal,Urbana,6.6,23.2
Itaíba,Municipal,Urbana,13.6,20.4
Itaíba,Municipal,Rural,9.3,30.6
Itambé,Municipal,Urbana,12.2,35.4
Itapetim,Municipal,Urbana,5.1,11.7
Itapissuma,Municipal,Urbana,6.9,18.6
Itapissuma,Municipal,Rural,3.1,12.7
Itaquitinga,Municipal,Urbana,12.3,32.4
Jaboatão dos Guararapes,Municipal,Urbana,10.7,18.6
Jaboatão dos Guararapes,Municipal,Rural,7.9,15.0
Jaqueira,Municipal,Urbana,5.9,19.2
Jataúba,Municipal,Urbana,14.1,29.0
Jataúba,Municipal,Rural,7.8,19.9
Jatobá,Estadual,Rural,6.1,19.2
Jatobá,Municipal,Urbana,6.6,15.1
Jatobá,Municipal,Rural,9.3,14.0
João Alfredo,Municipal,Urbana,6.1,17.0
João Alfredo,Municipal,Rural,4.8,13.7
Joaquim Nabuco,Municipal,Urbana,6.3,24.2
Jucati,Municipal,Urbana,2.4,15.8
Jupi,Municipal,Urbana,6.2,14.0
Jupi,Municipal,Rural,4.3,21.1
Jurema,Municipal,Urbana,6.6,19.1
Lagoa do Carro,Municipal,Urbana,6.1,16.1
Lagoa do Carro,Municipal,Rural,6.0,9.2
Lagoa de Itaenga,Municipal,Urbana,11.1,28.0
Lagoa de Itaenga,Municipal,Rural,9.9,18.3
Lagoa do Ouro,Municipal,Urbana,5.0,12.3
Lagoa do Ouro,Municipal,Rural,1.0,19.2
Lagoa dos Gatos,Municipal,Urbana,6.1,17.7
Lagoa Grande,Municipal,Urbana,3.8,12.3
Lagoa Grande,Municipal,Rural,2.5,8.2
Lajedo,Municipal,Urbana,7.8,22.1
Lajedo,Municipal,Rural,5.4,26.8
Limoeiro,Municipal,Urbana,10.7,21.8
Limoeiro,Municipal,Rural,6.4,13.8
Macaparana,Municipal,Urbana,9.7,23.4
Macaparana,Municipal,Rural,10.2,20.0
Machados,Municipal,Urbana,3.9,11.1
Machados,Municipal,Rural,3.2,7.4
Manari,Municipal,Urbana,4.6,13.3
Manari,Municipal,Rural,3.5,13.3
Maraial,Municipal,Urbana,3.8,16.4
Maraial,Municipal,Rural,1.4,13.2
Mirandiba,Municipal,Urbana,5.1,17.4
